iter	RMSE
0	11459.27261
1	11085.72846
2	10749.84943
3	10375.24944
4	9992.943283
5	9698.866432
6	9392.903715
7	9097.318087
8	8819.380216
9	8547.230851
10	8281.12397
11	8050.749191
12	7805.175197
13	7585.463902
14	7372.603812
15	7170.739776
16	6971.478141
17	6796.163034
18	6638.544695
19	6511.550268
20	6357.935089
21	6214.873821
22	6081.18027
23	5955.907703
24	5833.356379
25	5710.842852
26	5608.7198
27	5514.366648
28	5421.189617
29	5330.142471
30	5243.366453
31	5183.592767
32	5114.140839
33	5057.887094
34	5000.588535
35	4961.339277
36	4903.865893
37	4859.279538
38	4805.20124
39	4759.836692
40	4714.289755
41	4671.057822
42	4632.46147
43	4597.136328
44	4564.000069
45	4530.034811
46	4500.842782
47	4476.725059
48	4449.025944
49	4425.912119
50	4402.641252
51	4382.589454
52	4360.749015
53	4337.027814
54	4314.557425
55	4295.049342
56	4275.852596
57	4260.549128
58	4242.088177
59	4222.984408
60	4204.49704
61	4188.080691
62	4177.106627
63	4165.102051
64	4153.907336
65	4140.105121
66	4128.467242
67	4114.86137
68	4103.917279
69	4093.673875
70	4081.56753
71	4069.068046
72	4066.785346
73	4057.158803
74	4050.47928
75	4040.687823
76	4034.510518
77	4029.661269
78	4018.489315
79	4011.807802
80	4003.156073
81	3996.35633
82	3992.770808
83	3986.46046
84	3980.784491
85	3973.826386
86	3967.484543
87	3965.23276
88	3961.218918
89	3954.590693
90	3948.370159
91	3940.206524
92	3935.293915
93	3929.601004
94	3924.814731
95	3920.93014
96	3910.430112
97	3903.172541
98	3898.512026
99	3895.22462
100	3888.940272
101	3885.326696
102	3880.511733
103	3874.852522
104	3869.348023
105	3862.830798
106	3856.216037
107	3851.019164
108	3845.017442
109	3840.313306
110	3833.626688
111	3827.988191
112	3822.256909
113	3817.205222
114	3812.430157
115	3808.915331
116	3799.233012
117	3793.549032
118	3789.441803
119	3784.597502
120	3779.679673
121	3775.971106
122	3770.359653
123	3762.541634
124	3757.652146
125	3752.91078
126	3747.286636
127	3744.925137
128	3739.764094
129	3734.303634
130	3728.664371
131	3721.95643
132	3718.928441
133	3715.254418
134	3714.720966
135	3711.254286
136	3705.353073
137	3700.407021
138	3695.376705
139	3688.543104
140	3681.289214
141	3677.916374
142	3676.675793
143	3672.171475
144	3668.192598
145	3662.438674
146	3656.464716
147	3650.520022
148	3649.113742
149	3642.55601
150	3637.445598
151	3634.650246
152	3630.395308
153	3623.550302
154	3617.592339
155	3612.667129
156	3609.47111
157	3605.765854
158	3598.8713
159	3597.281096
160	3591.890651
161	3590.365761
162	3582.266383
163	3580.589444
164	3578.971834
165	3573.601179
166	3567.309632
167	3561.407492
168	3555.873955
169	3551.152311
170	3548.35446
171	3543.955454
172	3539.582323
173	3534.078236
174	3529.642978
175	3527.564272
176	3523.906945
177	3521.522849
178	3517.216052
179	3512.778775
180	3510.100412
181	3506.241465
182	3503.037781
183	3501.836124
184	3500.543154
185	3499.112757
186	3495.133062
187	3487.866604
188	3487.585068
189	3485.997228
190	3481.995354
191	3481.075398
192	3479.34268
193	3477.693855
194	3473.910399
195	3469.02702
196	3466.911989
197	3466.041231
198	3463.486874
199	3462.459117
200	3462.195263
201	3456.311125
202	3451.994483
203	3449.213124
204	3447.240539
205	3444.419191
206	3440.911039
207	3439.858279
208	3437.626562
209	3433.574519
210	3426.926636
211	3426.18311
212	3420.750115
213	3419.813918
214	3415.843686
215	3410.671775
216	3406.755313
217	3403.108177
218	3401.944074
219	3396.977918
220	3396.416856
221	3394.151607
222	3389.772107
223	3388.667911
224	3383.204377
225	3381.445322
226	3378.756945
227	3377.372972
228	3375.712076
229	3374.361927
230	3370.44228
231	3365.497617
232	3363.788043
233	3362.488472
234	3359.693364
235	3355.057955
236	3353.903218
237	3345.627657
238	3342.284863
239	3341.073323
240	3337.536901
241	3332.80479
242	3332.10924
243	3327.278185
244	3324.727007
245	3323.286367
246	3321.756501
247	3320.166636
248	3318.732195
249	3310.788085
250	3306.713464
251	3302.887516
252	3301.495571
253	3299.543389
254	3298.012252
255	3294.862216
256	3293.48557
257	3284.943064
258	3284.316568
259	3283.690525
260	3282.619738
261	3281.117514
262	3278.069636
263	3274.579608
264	3271.62138
265	3270.209304
266	3266.778963
267	3265.473273
268	3259.494754
269	3256.387117
270	3253.45475
271	3251.166963
272	3250.505555
273	3249.940978
274	3242.59271
275	3235.911582
276	3233.770037
277	3230.675264
278	3228.59317
279	3224.626737
280	3224.025561
281	3220.33092
282	3215.790058
283	3212.805665
284	3212.393496
285	3211.345368
286	3208.35047
287	3206.56085
288	3206.076378
289	3200.689059
290	3199.804181
291	3196.978504
292	3194.453573
293	3193.963584
