iter	Passed	Remaining
0	131	65611
1	132	33107
2	134	22280
3	135	16779
4	137	13563
5	137	11330
6	139	9818
7	141	8698
8	143	7805
9	144	7078
10	145	6479
11	147	5995
12	148	5575
13	149	5202
14	151	4894
15	152	4623
16	153	4369
17	155	4157
18	156	3966
19	158	3794
20	159	3630
21	160	3493
22	162	3364
23	163	3245
24	164	3134
25	166	3033
26	167	2942
27	169	2861
28	171	2781
29	172	2695
30	173	2617
31	174	2551
32	175	2483
33	176	2424
34	178	2368
35	178	2304
36	180	2258
37	181	2203
38	182	2151
39	183	2109
40	184	2069
41	187	2040
42	188	2006
43	191	1979
44	192	1949
45	194	1920
46	196	1895
47	199	1875
48	200	1847
49	202	1823
50	204	1801
51	206	1775
52	207	1752
53	209	1733
54	212	1716
55	213	1694
56	215	1673
57	217	1658
58	219	1641
59	222	1629
60	224	1615
61	226	1599
62	227	1578
63	231	1576
64	233	1561
65	236	1553
66	237	1538
67	240	1525
68	242	1514
69	244	1503
70	246	1491
71	249	1481
72	249	1461
73	252	1453
74	254	1440
75	256	1428
76	257	1414
77	258	1400
78	261	1394
79	263	1381
80	264	1368
81	266	1356
82	268	1349
83	270	1337
84	271	1325
85	272	1314
86	274	1303
87	275	1289
88	276	1278
89	278	1267
90	280	1258
91	281	1248
92	282	1238
93	284	1228
94	285	1218
95	287	1209
96	288	1200
97	290	1190
98	291	1182
99	293	1173
100	294	1165
101	296	1156
102	297	1147
103	299	1139
104	300	1131
105	302	1123
106	303	1115
107	305	1108
108	307	1101
109	308	1094
110	310	1087
111	313	1085
112	314	1078
113	316	1071
114	317	1064
115	319	1057
116	320	1050
117	322	1043
118	323	1037
119	325	1031
120	327	1025
121	328	1018
122	330	1012
123	332	1007
124	333	1000
125	335	994
126	336	987
127	338	982
128	339	976
129	340	970
130	342	964
131	344	960
132	345	954
133	347	948
134	347	940
135	349	934
136	351	930
137	352	924
138	353	919
139	355	913
140	357	909
141	358	903
142	360	898
143	361	893
144	362	888
145	364	884
146	366	879
147	367	874
148	368	869
149	370	864
150	372	859
151	373	855
152	374	850
153	376	845
154	377	840
155	379	836
156	380	831
157	381	826
158	383	822
159	384	817
160	386	813
161	387	808
162	389	805
163	390	800
164	392	796
165	393	792
166	395	788
167	396	784
168	398	779
169	399	775
170	401	771
171	402	767
172	404	763
173	405	759
174	406	755
175	408	752
176	410	748
177	411	744
178	413	741
179	415	739
180	417	735
181	419	732
182	420	729
183	422	725
184	423	721
185	425	718
186	427	715
187	429	712
188	429	707
189	431	703
190	432	700
191	433	695
192	435	692
193	436	688
194	437	684
195	439	682
196	441	678
197	442	674
198	443	671
199	445	668
200	446	664
201	448	661
202	449	657
203	450	654
204	452	651
205	453	647
206	455	644
207	456	640
208	458	637
209	459	634
210	460	631
211	462	628
212	463	624
213	465	621
214	466	618
215	468	615
216	469	612
217	470	609
218	472	605
219	473	602
220	474	599
221	476	596
222	477	593
223	479	590
224	480	587
225	481	584
226	483	581
227	485	578
228	486	575
229	488	572
230	489	570
231	491	567
232	492	564
233	494	561
234	495	558
235	497	556
236	498	553
237	500	550
238	501	547
239	503	545
240	505	543
241	507	540
242	509	538
243	510	535
244	512	533
245	513	530
246	514	527
247	516	524
248	518	522
249	519	519
250	521	516
251	523	515
252	524	512
253	526	510
254	528	507
255	530	505
256	532	503
257	533	500
258	535	498
259	536	495
260	538	492
261	539	490
262	541	487
263	542	485
264	544	482
265	545	480
266	547	478
267	549	475
268	550	472
269	552	470
270	554	468
271	555	465
272	557	463
273	558	460
274	560	458
275	561	456
276	563	453
277	564	451
278	566	448
279	567	446
280	569	443
281	570	441
282	572	438
283	573	436
284	575	433
285	576	431
286	578	429
287	580	427
288	581	424
289	582	422
290	584	419
291	586	417
292	588	415
293	589	413
294	590	410
295	592	408
296	594	406
297	595	403
298	596	401
299	598	398
300	600	396
301	601	394
302	602	391
303	604	389
304	606	387
305	607	385
306	609	382
307	610	380
308	612	378
309	613	376
310	615	373
311	616	371
312	618	369
313	620	367
314	621	365
315	623	363
316	625	360
317	626	358
318	628	356
319	629	354
320	632	352
321	633	350
322	635	348
323	637	346
324	638	343
325	640	341
326	641	339
327	643	337
328	645	335
329	646	332
330	647	330
331	649	328
332	650	326
333	651	324
334	653	321
335	654	319
336	656	317
337	658	315
338	659	313
339	661	311
340	662	309
341	664	306
342	665	304
343	666	302
344	668	300
345	669	298
346	671	295
347	672	293
348	673	291
349	676	289
350	678	287
351	679	285
352	682	284
353	684	282
354	686	280
355	688	278
356	690	276
357	691	274
358	693	272
359	695	270
360	696	268
361	698	266
362	700	264
363	702	262
364	703	260
365	705	258
366	707	256
367	709	254
368	710	252
369	713	250
370	715	248
371	716	246
372	718	244
373	721	243
374	724	241
375	726	239
376	728	237
377	730	235
378	732	233
379	734	231
380	735	229
381	737	227
382	739	225
383	740	223
384	741	221
385	743	219
386	744	217
387	746	215
388	748	213
389	749	211
390	750	209
391	752	207
392	753	205
393	755	203
394	756	201
395	758	199
396	759	197
397	760	195
398	762	192
399	763	190
400	764	188
401	766	186
402	767	184
403	768	182
404	770	180
405	771	178
406	773	176
407	774	174
408	775	172
409	777	170
410	778	168
411	780	166
412	781	164
413	784	162
414	785	160
415	787	158
416	788	156
417	790	155
418	791	153
419	793	151
420	794	149
421	797	147
422	798	145
423	799	143
424	801	141
425	803	139
426	805	137
427	806	135
428	808	133
429	810	131
430	812	130
431	813	128
432	815	126
433	817	124
434	818	122
435	819	120
436	821	118
437	823	116
438	824	114
439	825	112
440	827	110
441	829	108
442	830	106
443	832	104
444	833	103
445	835	101
446	836	99
447	838	97
448	839	95
449	840	93
450	842	91
451	843	89
452	845	87
453	846	85
454	848	83
455	849	81
456	851	80
457	852	78
458	854	76
459	855	74
460	857	72
461	858	70
462	860	68
463	861	66
464	863	64
465	864	63
466	866	61
467	867	59
468	869	57
469	870	55
470	872	53
471	873	51
472	875	49
473	876	48
474	878	46
475	880	44
476	881	42
477	883	40
478	884	38
479	886	36
480	887	35
481	889	33
482	891	31
483	892	29
484	894	27
485	895	25
486	897	23
487	899	22
488	900	20
489	902	18
490	907	16
491	908	14
492	910	12
493	911	11
494	913	9
495	914	7
496	916	5
497	917	3
498	919	1
499	920	0
