iter	Passed	Remaining
0	2	2820
1	3	1836
2	5	1814
3	10	2592
4	16	3325
5	18	3061
6	23	3323
7	25	3100
8	26	2967
9	27	2746
10	29	2625
11	30	2528
12	32	2467
13	34	2420
14	35	2350
15	37	2311
16	39	2284
17	41	2249
18	43	2244
19	44	2180
20	46	2147
21	47	2113
22	49	2088
23	50	2063
24	52	2037
25	53	2020
26	55	2001
27	57	1985
28	59	1976
29	60	1944
30	61	1930
31	63	1922
32	65	1927
33	67	1916
34	71	1977
35	73	1979
36	75	1977
37	77	1967
38	79	1965
39	81	1966
40	83	1958
41	85	1947
42	86	1918
43	88	1919
44	89	1907
45	91	1895
46	92	1885
47	94	1880
48	96	1873
49	98	1865
50	100	1870
51	102	1861
52	102	1833
53	104	1826
54	106	1830
55	108	1824
56	109	1818
57	111	1813
58	113	1807
59	114	1797
60	116	1789
61	117	1781
62	119	1779
63	121	1776
64	123	1771
65	123	1754
66	125	1750
67	126	1739
68	128	1735
69	130	1737
70	132	1733
71	134	1728
72	135	1722
73	137	1718
74	138	1711
75	140	1704
76	141	1698
77	143	1694
78	144	1689
79	146	1684
80	148	1680
81	150	1690
82	152	1685
83	154	1685
84	156	1687
85	158	1683
86	160	1682
87	162	1680
88	163	1676
89	185	1871
90	186	1866
91	189	1871
92	191	1865
93	193	1861
94	226	2160
95	234	2205
96	236	2200
97	239	2201
98	243	2214
99	248	2235
100	248	2215
101	253	2233
102	259	2258
103	280	2414
104	309	2637
105	318	2686
106	320	2677
107	326	2693
108	327	2675
109	329	2667
110	331	2658
111	348	2761
112	351	2755
113	353	2743
114	355	2732
115	357	2722
116	359	2709
117	360	2696
118	364	2701
119	369	2708
120	371	2700
121	373	2685
122	374	2672
123	377	2664
124	378	2651
125	381	2642
126	382	2630
127	384	2618
128	385	2605
129	387	2595
130	395	2626
131	400	2633
132	402	2623
133	408	2638
134	410	2628
135	414	2634
136	418	2638
137	423	2648
138	432	2679
139	450	2765
140	452	2757
141	462	2795
142	472	2832
143	483	2873
144	489	2886
145	496	2905
146	499	2895
147	500	2884
148	504	2882
149	506	2869
150	509	2863
151	512	2861
152	514	2850
153	516	2838
154	518	2828
155	520	2816
156	522	2803
157	525	2801
158	527	2788
159	528	2776
160	532	2774
161	534	2762
162	536	2755
163	539	2750
164	541	2739
165	553	2781
166	565	2818
167	571	2829
168	577	2838
169	580	2834
170	584	2831
171	588	2833
172	590	2824
173	595	2824
174	602	2842
175	607	2843
176	609	2832
177	610	2820
178	613	2812
179	637	2902
180	639	2892
181	640	2880
182	643	2871
183	646	2868
184	649	2860
185	652	2853
186	655	2848
187	658	2845
188	659	2831
189	678	2892
190	680	2881
191	683	2876
192	688	2877
193	690	2869
194	692	2857
195	693	2846
196	695	2835
197	698	2829
198	700	2818
199	702	2809
200	704	2799
